system:index,tropospheric_HCHO_column_number_density,.geo
0,9.649539534100667E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.82903142628402,6.782280395102387]}"
1,8.273724829119602E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.82903142628402,7.0517749803382435]}"
2,1.0679180748145468E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.6493683694601,7.3212695655741]}"
3,1.4660338691704658E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.56952478372068,8.129753321281669]}"
4,1.5723517706693068E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.38986172689677,8.219584849693621]}"
5,1.557615188248841E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.30003019848482,8.309416378105574]}"
6,1.480768759389964E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.65935631213263,8.309416378105574]}"
7,1.8864206047542256E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.03053561324897,8.489079434929478]}"
8,1.296228783745949E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.30003019848482,8.489079434929478]}"
9,1.5432372218394054E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.56952478372068,8.489079434929478]}"
10,1.452313651573946E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.65935631213263,8.489079434929478]}"
11,1.4823530086257049E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.01868242578044,8.489079434929478]}"
12,1.5958582188742467E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.12036714166092,8.57891096334143]}"
13,1.547108541631373E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.47969325530873,8.57891096334143]}"
14,1.491868558232881E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.65935631213263,8.57891096334143]}"
15,1.4217271065528083E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.74918784054458,8.57891096334143]}"
16,1.9642573464910996E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.85087255642506,8.668742491753383]}"
17,1.3788710542278297E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.12036714166092,8.668742491753383]}"
18,1.5868585187729143E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.38986172689677,8.668742491753383]}"
19,1.5043969681963957E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.65935631213263,8.668742491753383]}"
20,1.4069364992450655E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.83901936895654,8.668742491753383]}"
21,1.2269656515592682E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.21019867007287,8.758574020165334]}"
22,1.571752954084493E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.65935631213263,8.758574020165334]}"
23,1.4495854569355864E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.83901936895654,8.758574020165334]}"
24,1.3775529106057653E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.92885089736849,8.758574020165334]}"
25,1.8665963536363658E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.85087255642506,8.848405548577286]}"
26,1.7731334019913884E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.94070408483701,8.848405548577286]}"
27,1.3504381765076277E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.10851395419239,8.848405548577286]}"
28,1.5562994131874917E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.12036714166092,8.938237076989239]}"
29,1.6975163308673331E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.38986172689677,8.938237076989239]}"
30,1.3541779213317143E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.01868242578044,8.938237076989239]}"
31,1.909280296552841E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.76104102801311,9.028068605401192]}"
32,1.5537603434886708E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.65935631213263,9.028068605401192]}"
